StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,gender,ucla pre m_1,ucla pre m_2,ucla pre m_3,ucla_pre_avg,AI attitudes M _1,AI attitudes M _2,AI attitudes M _3,AI attitudes M _4,AI attitudes M _5,AI attitudes M _6,AI_attitudes_grade,AI attitudes attention_check,Ant' humannature  _1,Ant' humannature  _2,Ant' humannature  _3,Ant' humannature  _4,Ant' humannature  _5,Ant' humannature  _6,Ant' humannature  _7,Ant' humannature  _8,Ant' humannature  _9,Ant' humannature  _10,avr. Ant Human,Ant' uniquelytraits _1,Ant' uniquelytraits _2,Ant' uniquelytraits _3,Ant' uniquelytraits _4,Ant' uniquelytraits _5,Ant' uniquelytraits _6,Ant' uniquelytraits _7,Ant' uniquelytraits _8,Ant' uniquelytraits _9,Ant' uniquelytraits _10,avr. Ant uniqley,TOTAL ANT,ucla post M _1,ucla post M _2,ucla post M _3,ucla_post_grade_avg,Feeling heard M_1,Feeling heard M_2,Feeling heard M_3,Feeling heard M_4,N-Feeling heard M_4,Feeling heard M_5,Feeling heard M_6,Total feeling heard,ease check M _1,ease_check_fixed,IOS (Inclusion of Ot,Intimacy M _1,Intimacy M _2,Intimacy M _3,N-Intimacy M _3,Intimacy M _4,Intimacy M _5,N-Intimacy M _5,Intimacy M _6,N-Intimacy M _6,Intimacy M _7,Avr intimacy,Attention check,Meta-perceptions M_1,Meta-perceptions M_2,Meta-perceptions M_3,Meta-perceptions M_4,Meta-perceptions M_5,Meta_ perceptions_grade,self-esteem M_1,self-esteem M_2,N-self-esteem M_2,self-esteem M_3,self-esteem M_4,self-esteem M_5,N-self-esteem M_5,self-esteem M_6,N-self-esteem M_6,self-esteem M_7,self-esteem M_8,N-self-esteem M_8,self-esteem M_9,N self-esteem M_9,self-esteem M_10,Average self-esteem,Performance M_1,Performance M_2,Performance M_3,Performance M_4,Performance M_5,Performance M_6,Average performance,political view,English level,AI brands usage,AI brands usage_8_TEXT,AI frequency,uid,Create New Field or Choose From Dropdown...,גיל,chat_version,Self disclosure_dummy,Responsivness_dummy,Self disclosure,Responsivness
11/04/2024 6:52,11/04/2024 7:02,0,100,577,1,11/04/2024 7:02,R_4ZK7z5ePiuwZZlA,1,1,4,3,4,3.666666667,6,4,6,5,5,5,31,5,6,6,4,5,5,2,3,2,2,2,3.7,4,6,4,3,6,6,1,5,3,4,5.166666667,4.433333333,4,4,3,3.666666667,5,5,5,3,4,6,5,5,7,5,3,5,6,2,5,5,3,4,4,3,5,4.714285714,1,5,6,5,5,5,5.2,4,5,2,5,4,4,3,5,2,4,5,2,4,3,4,3.3,5,5,5,5,5,5,5,3,6,4.8,Gemini,6,117532256,,32,2,1,1,Self-dislosure,Responsive
11/05/2024 3:51,11/05/2024 5:17,0,100,5158,1,11/05/2024 5:17,R_2EYjZNs9wVZIiOg,1,1,1,1,1,1,6,5,6,5,3,6,31,5,6,5,5,4,5,1,2,1,1,1,3.1,5,5,1,2,5,5,1,5,2,5,5,4.05,1,1,1,1,3,5,4,1,6,5,5,4.666666667,7,5,3,5,6,2,5,3,3,4,2,5,3,4.428571429,1,5,3,4,5,3,4,4,4,3,6,5,1,6,1,6,5,1,6,1,6,5,5.2,6,6,6,5,5,6,5.666666667,3,6,4,,4,117532263,,38,2,1,1,Self-dislosure,Responsive
11/04/2024 13:07,11/04/2024 13:20,0,100,727,1,11/04/2024 13:20,R_475nN3p8TQXYL3b,1,1,3,1,1,1.666666667,2,4,2,3,2,2,15,5,1,2,2,1,3,1,4,1,1,1,1.7,3,3,6,5,4,2,1,4,3,1,2.833333333,2.266666667,3,1,1,1.666666667,6,6,4,5,2,5,2,4.166666667,7,5,1,2,5,5,2,1,6,1,6,1,1,1.857142857,1,2,5,2,2,1,2.4,4,4,3,4,6,6,1,5,2,4,2,5,3,4,5,3.8,5,5,2,4,4,2,3.666666667,1,4,9,,1,117532267,,45,2,1,1,Self-dislosure,Responsive
11/04/2024 4:17,11/04/2024 4:38,0,100,1224,1,11/04/2024 4:38,R_4fbPrTIo7SP1Ffz,1,1,2,3,3,2.666666667,3,4,5,4,3,4,23,5,5,6,5,4,5,2,2,1,1,1,3.2,6,6,1,2,6,5,1,5,2,4,5.333333333,4.266666667,3,2,2,2.333333333,6,6,4,2,5,6,5,5.333333333,7,5,6,6,5,2,5,5,1,6,2,5,6,5.428571429,1,6,3,5,5,5,4.8,4,4,3,5,6,3,4,4,3,3,4,3,2,5,4,4,6,6,6,6,6,5,5.833333333,2,6,4,,4,117532269,,47,3,0,1,Generic,Responsive
11/04/2024 14:03,11/04/2024 14:16,0,100,763,1,11/04/2024 14:16,R_40o1lpVrmjxSVH6,1,1,1,1,1,1,3,4,4,3,4,3,21,5,5,5,5,4,4,2,1,1,1,1,2.9,5,5,1,1,4,4,1,4,1,1,3.833333333,3.366666667,1,1,1,1,5,5,1,1,6,5,5,4.5,7,5,4,4,1,4,3,1,1,6,5,2,1,2.571428571,1,4,1,2,1,1,1.8,5,1,6,5,5,1,6,1,6,6,1,6,1,6,5,5.6,4,5,3,4,4,4,4,4,6,4,,4,117532270,,54,1,0,0,Generic,Not responsive
11/04/2024 3:09,11/04/2024 3:21,0,100,733,1,11/04/2024 3:21,R_4L1MXYexPy5Rs4z,1,1,2,1,2,1.666666667,5,5,5,5,4,5,29,5,5,4,4,4,4,1,2,1,1,1,2.7,3,4,2,1,4,4,1,4,2,3,3.666666667,3.183333333,2,1,1,1.333333333,3,5,5,2,5,5,5,4.666666667,7,5,5,5,2,4,3,4,4,3,5,2,5,3.428571429,1,5,5,5,5,4,4.8,5,2,5,5,5,1,6,1,6,5,2,5,1,6,5,5.3,5,5,5,5,5,5,5,5,5,4,,4,117532281,,67,2,1,1,Self-dislosure,Responsive
11/04/2024 4:19,11/04/2024 4:29,0,100,610,1,11/04/2024 4:29,R_4Y8KuhfzmAFS7Aw,1,2,1,2,2,1.666666667,5,4,5,5,3,5,27,5,6,3,3,1,3,1,3,1,1,1,2.3,3,3,6,5,5,2,1,6,1,5,4,3.15,1,2,1,1.333333333,5,5,2,2,5,5,5,4.5,7,5,1,1,2,5,2,2,1,6,6,1,2,2.285714286,1,5,2,2,1,2,2.4,6,4,3,6,5,3,4,1,6,6,4,3,1,6,5,5,5,6,4,5,5,5,5,4,6,4.6,,6,117532285,,20,1,0,0,Generic,Not responsive
11/04/2024 10:58,11/04/2024 11:09,0,100,624,1,11/04/2024 11:09,R_4Crz3cU6PTMW01f,1,2,6,3,4,4.333333333,6,4,6,6,6,6,34,5,6,6,6,4,5,1,1,1,1,1,3.2,6,6,1,1,6,1,1,6,1,1,4.333333333,3.766666667,5,3,5,4.333333333,6,6,5,1,6,6,5,5.666666667,8,6,3,5,6,1,6,6,3,4,5,2,6,5,1,5,4,5,6,6,5.2,4,5,2,6,5,2,5,5,2,6,6,1,2,5,3,3.9,6,6,6,6,6,6,6,2,6,8,gemini,5,117532286,,23,2,1,1,Self-dislosure,Responsive
11/04/2024 3:11,11/04/2024 3:24,0,100,772,1,11/04/2024 3:24,R_4Yy9zDEsjFRQ70B,1,2,3,3,3,3,4,5,2,5,4,4,24,5,3,5,4,2,4,1,1,1,1,1,2.3,4,4,4,3,5,4,2,5,4,3,4.166666667,3.233333333,3,3,3,3,4,6,1,1,6,6,4,4.5,8,6,2,1,4,4,3,1,5,2,4,3,3,2.428571429,1,2,3,2,2,2,2.2,4,5,2,4,5,2,5,4,3,5,2,5,2,5,5,4.3,5,2,4,5,6,5,4.5,4,5,9,,1,117532293,,30,1,0,0,Generic,Not responsive
11/04/2024 4:05,11/04/2024 4:17,0,100,726,1,11/04/2024 4:17,R_4rN8BMRQL8nxndL,1,2,3,3,3,3,4,5,2,4,4,4,23,5,3,3,1,1,1,1,3,1,1,1,1.6,4,2,2,5,4,2,2,5,3,2,3.166666667,2.383333333,3,3,3,3,3,5,2,2,5,5,2,3.666666667,7,5,2,2,5,3,4,2,5,2,5,2,3,2.857142857,1,2,2,2,2,2,2,4,4,3,4,5,4,3,5,2,4,5,2,4,3,4,3.4,5,5,5,5,5,5,5,3,7,9,,1,117532304,,39,1,0,0,Generic,Not responsive
